Datum;Pfand
29.01.2025; 1.15
10.02.2025; 1.37
11.02.2025; 3.05
12.02.2025; 1.40
17.02.2025; 2.00
20.02.2025; 5.48
24.02.2025; 4.12
25.02.2025; 1.40
26.02.2025; 1.40
03.03.2025; 1.08
04.03.2025; 1.08
05.03.2025; 3.05
11.03.2025; 2.08
12.03.2025; 0.20
14.03.2025; 0.75
17.03.2025; 3.05
18.03.2025; 0.40
19.03.2025; 1.80
20.03.2025; 0.75
21.03.2025; 2.18
24.03.2025; 6.38
25.03.2025; 5.40
26.03.2025; 3.50
28.03.2025; 9.30
02.04.2025; 5.40
04.04.2025; 6.46
22.04.2025; 4.66
25.04.2025; 8.03
28.04.2025; 3.74
29.04.2025; 5.98
06.05.2025; 7.18
09.05.2025; 7.53
16.05.2025; 9.74
23.05.2025; 8.72
04.06.2025; 11.44
13.06.2025; 8.66
16.06.2025; 7.65
20.06.2025; 16.85
24.06.2025; 10.80
25.06.2025; 12.31
26.06.2025; 25.50
27.06.2025; 8.61
14.08.2025; 3.25
25.08.2025; 6.47
01.09.2025; 7.55
05.09.2025; 8.79
11.09.2025; 13.17
19.09.2025; 18.65
24.09.2025; 8.17
02.10.2025; 8.26
23.10.2025; 9.48